seq,taxID_kaiju,taxID_kraken2,length,true,taxID_SAMOVAR,taxID_SAMOVAR_confidence,sample
Hsap.fna|taxid:9606|-NC_000001.11_1006_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1006_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1006_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1006_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1006_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1006_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1006_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1007_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_5,0,131567,126,9606,131567,0.963994921365964,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1008_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1009_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
