annotator,raw_reads,L1_raw,R2_raw,L1_logistic,R2_logistic,delta_L1,delta_R2
kaiju,400.0,0.535,0.02278934790030729,0.5387697507109434,0.022014346925063544,-0.0037697507109433204,-0.0007750009752437448
kraken2,400.0,0.5340201005025126,0.023210891421500346,0.5313598979367623,0.022593922102597364,0.0026602025657502804,-0.0006169693189029823
SAMOVAR,400.0,0.0,1.0,0.0,1.0,0.0,0.0
